"br_ouinstance","br_customer_id","br_customer_location","br_from_ship_point_id","br_to_ship_point_id","br_score","br_rank","br_created_date","br_created_by"
2,"2129",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:44,ML
2,"289",jakartahub,"172-1","5l",1.00000000,1,2019-01-14 20:19:45,ML
2,"2chikil","11l","2chikil","5l",1.00000000,1,2019-01-14 20:19:45,ML
2,"2chikil","2l","2chikil","5l",1.00000000,1,2019-01-14 20:19:45,ML
2,"2chikil","2lh","2chikil","5l",1.00000000,1,2019-01-14 20:19:45,ML
2,"2chikil","2pudc","2chikil","5l",1.00000000,1,2019-01-14 20:19:46,ML
2,"2chikil","2tg","10000039","5l",1.00000002,1,2019-01-14 20:19:46,ML
2,"2chikil","2tgw","2chikil","5l",1.00000000,1,2019-01-14 20:19:46,ML
2,"2chikil","2tt","2desres","5l",1.00000002,1,2019-01-14 20:19:47,ML
2,"2chikil","3c","2chikil","5l",1.00000000,1,2019-01-14 20:19:47,ML
2,"2chikil","3der","10000340","5l",1.00000002,1,2019-01-14 20:19:47,ML
2,"2chikil","3der","10000435","5l",1.00000002,1,2019-01-14 20:19:47,ML
2,"2chikil","3der","2chikil","5l",1.00000000,1,2019-01-14 20:19:48,ML
2,"2chikil","3ls","1","5l",1.00000002,1,2019-01-14 20:19:48,ML
2,"2chikil","3ls","10000051","5l",1.00000002,1,2019-01-14 20:19:48,ML
2,"2chikil","3ls","23pwick","5l",1.00000002,1,2019-01-14 20:19:49,ML
2,"2chikil","3ls","2chikil","5l",1.00000000,1,2019-01-14 20:19:49,ML
2,"2chikil","3pud","1","5l",1.00000002,1,2019-01-14 20:19:51,ML
2,"2chikil","3pud","2chikil","10000051",-1.38878452,2,2019-01-14 20:19:52,ML
2,"2chikil","3pud","2parsou","5l",1.00000002,1,2019-01-14 20:19:52,ML
2,"2chikil","3pud","3dolpak","5l",1.00000002,1,2019-01-14 20:19:52,ML
2,"2chikil","3pud",td1239,"5l",1.00000002,1,2019-01-14 20:19:53,ML
2,"2chikil","3t","10000051","5l",1.00000002,1,2019-01-14 20:19:53,ML
2,"2chikil","3t","10000340","5l",1.00000002,1,2019-01-14 20:19:53,ML
2,"2chikil","3t","10000435","5l",1.00000002,1,2019-01-14 20:19:53,ML
2,"2chikil","3tcam","10000340","5l",1.00000002,1,2019-01-14 20:19:54,ML
2,"2chikil","3tcam","3camsa","5l",1.00000002,1,2019-01-14 20:19:54,ML
2,"2chikil","3tcam",td1058,"5l",1.00000002,1,2019-01-14 20:19:54,ML
2,"2chikil","52101",td1239,"5l",1.00000002,1,2019-01-14 20:19:55,ML
2,"2chikil",cameron,"2chikil","5l",1.00000000,1,2019-01-14 20:19:55,ML
2,"2chikil",jakartahub,"1","5l",1.00000002,1,2019-01-14 20:19:55,ML
2,"2chikil",jakartahub,"10000435","5l",1.00000002,1,2019-01-14 20:19:56,ML
2,"2chikil",jakartahub,"2chikil","5l",1.00000000,1,2019-01-14 20:19:56,ML
2,"2chikil",jakartahub,jakartahub,"5l",1.00000000,1,2019-01-14 20:19:56,ML
2,"135","3l","10000039","5l",1.00000002,1,2019-01-14 20:19:23,ML
2,"135",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:24,ML
2,"146",jakartahub,"10000051","5l",1.00000002,1,2019-01-14 20:19:25,ML
2,"17",barasat1,kolsil,"5l",1.00000002,1,2019-01-14 20:19:26,ML
2,"0000991000","2lh","24pines","5l",1.00000002,1,2019-01-14 20:19:28,ML
2,"0000991000",melwh,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:29,ML
2,"007",adyar,frtsyschn,frtsysblr,1.00000002,1,2019-01-14 20:19:30,ML
2,"007",l793994,"01",ship_point_01,1.00000002,1,2019-01-14 20:19:32,ML
2,"10000340","2tgw","10000039","5l",1.00000002,1,2019-01-14 20:19:33,ML
2,"10000340","3asr","10000340","5l",1.00000000,1,2019-01-14 20:19:33,ML
2,"10000340",dlh,"10000340","5l",1.00000000,1,2019-01-14 20:19:34,ML
2,"101",chn-hub,"10000039","5l",1.00000000,1,2019-01-14 20:19:35,ML
2,"105",changi,pju,"5l",1.00000002,1,2019-01-14 20:19:36,ML
2,"105",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:37,ML
2,"105",ramco,annalibrary85,"5l",1.00000002,1,2019-01-14 20:19:38,ML
2,"105",ramco,sp_karapakkam,"5l",1.00000000,1,2019-01-14 20:19:39,ML
2,"105",ramco,sp_kbstation,"5l",1.00000000,1,2019-01-14 20:19:39,ML
2,"105",ramco,sp_navalur,"5l",1.00000000,1,2019-01-14 20:19:40,ML
2,"127","2tgw","01_st_1","5l",1.00000000,1,2019-01-14 20:19:42,ML
2,"1434","3der","10000039","5l",1.00000002,1,2019-01-14 20:19:43,ML
2,"17",kol10book,kolnew,"5l",1.00000002,1,2019-01-14 20:19:44,ML
2,"2753",bng,"1","5l",1.00000002,1,2019-01-14 20:19:45,ML
2,"2chikil","2lh","2desres","5l",1.00000002,1,2019-01-14 20:19:46,ML
2,"2chikil","3c","23pwick","5l",1.00000002,1,2019-01-14 20:19:47,ML
2,"2chikil","3l","2chikil","10000051",1.00000000,1,2019-01-14 20:19:48,ML
2,"2chikil","3pud","2chikil","5l",1.38878452,1,2019-01-14 20:19:52,ML
2,"2chikil","3pudc","553","5l",1.00000002,1,2019-01-14 20:19:53,ML
2,"2chikil","3t","2chikil","5l",1.00000000,1,2019-01-14 20:19:54,ML
2,"2chikil","3tcam","2chikil","5l",1.00000000,1,2019-01-14 20:19:54,ML
2,"2chikil",bng,"2chikil","5l",1.00000000,1,2019-01-14 20:19:55,ML
2,"2chikil",jakartah,"2chikil","5l",1.00000000,1,2019-01-14 20:19:55,ML
2,"2chikil",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:56,ML
2,"501","2l","741","963",1.00000002,1,2019-01-14 20:19:57,ML
2,"501",cameronipo,"741","963",1.00000002,1,2019-01-14 20:19:58,ML
2,"501",kul,"741","963",1.00000002,1,2019-01-14 20:20:02,ML
2,"501",lynk,"963","5l",1.00000002,1,2019-01-14 20:20:03,ML
2,"775533",mad,"789","5l",1.00000002,1,2019-01-14 20:20:04,ML
2,advcar,"2pud","3camsa","5l",1.00000002,1,2019-01-14 20:20:05,ML
2,agl01,"2pudc",oarwsin,"5l",1.00000002,1,2019-01-14 20:20:06,ML
2,agl01,ramco,abtchn01,"5l",1.00000002,1,2019-01-14 20:20:07,ML
2,asian,"2pud","135","5l",1.00000002,1,2019-01-14 20:20:08,ML
2,asian,"2pud","169","5l",1.00000002,1,2019-01-14 20:20:09,ML
2,asian,"2pud","17","5l",1.00000002,1,2019-01-14 20:20:09,ML
2,asian,"2pud","197","5l",1.00000002,1,2019-01-14 20:20:10,ML
2,asian,"2pud","230","5l",1.00000002,1,2019-01-14 20:20:11,ML
2,asian,"2pud","261","5l",1.00000002,1,2019-01-14 20:20:12,ML
2,asian,"2pud","295","5l",1.00000002,1,2019-01-14 20:20:18,ML
2,asian,"2pud","321","5l",1.00000002,1,2019-01-14 20:20:19,ML
2,asian,"2pud","376","5l",1.00000002,1,2019-01-14 20:20:20,ML
2,asian,"2pud","382-12","5l",1.00000000,1,2019-01-14 20:20:22,ML
2,asian,"2pud","382-17","5l",1.00000000,1,2019-01-14 20:20:23,ML
2,asian,"2pud","382-4","5l",1.00000000,1,2019-01-14 20:20:24,ML
2,asian,"2pud","382-8","5l",1.00000000,1,2019-01-14 20:20:25,ML
2,asian,"2pud","44","5l",1.00000002,1,2019-01-14 20:20:26,ML
2,asian,"2pud","79","5l",1.00000002,1,2019-01-14 20:20:28,ML
2,asian,"2pud",td5727,"5l",1.00000002,1,2019-01-14 20:20:29,ML
2,asian,jakartahub,"4","5l",1.00000002,1,2019-01-14 20:20:30,ML
2,bayswater,andheri,sp1,"5l",1.00000002,1,2019-01-14 20:20:31,ML
